tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Liver,TFAM,B,NL→CR,NL,CR,0.32215998,0.463761,44.0,↑,0.261905,NS,14/18,6,3
Liver,TFAM,B,IT→IA,IT,IA,0.26369017,0.2298748,-12.800000190734863,↓,0.420635,NS,17/25,5,5
Liver,TFAM,B,IA→AR,IA,AR,0.2298748,0.28222343,22.799999237060547,↑,0.392857,NS,11/15,5,3
Liver,TFAM,B,CR→AR,CR,AR,0.463761,0.28222343,-39.09999847412109,↓,0.2,NS,8/9,3,3
Liver,TFAM,PlasmaB,NL→IT,NL,IT,0.1421626,0.25008422,75.9000015258789,↑,0.246753,NS,22/30,6,5
Liver,TFAM,PlasmaB,NL→IA,NL,IA,0.1421626,0.2111721,48.5,↑,0.125541,NS,24/30,6,5
Liver,TFAM,PlasmaB,NL→AR,NL,AR,0.1421626,0.32917953,131.60000610351562,↑,0.095238,†,16/18,6,3
Liver,TFAM,PlasmaB,NL→CR,NL,CR,0.1421626,0.2516276,77.0,↑,0.166667,NS,15/18,6,3
Liver,TFAM,PlasmaB,IT→IA,IT,IA,0.25008422,0.2111721,-15.600000381469728,↓,0.420635,NS,17/25,5,5
Liver,TFAM,PlasmaB,IA→AR,IA,AR,0.2111721,0.32917953,55.900001525878906,↑,0.142857,NS,13/15,5,3
Liver,TFAM,PlasmaB,CR→AR,CR,AR,0.2516276,0.32917953,30.799999237060547,↑,0.1,NS,9/9,3,3
Liver,TGFB1,Myeloid,NL→IT,NL,IT,0.82392734,0.89903027,9.100000381469728,↑,0.484848,NS,23/36,6,6
Liver,TGFB1,Myeloid,NL→IA,NL,IA,0.82392734,1.2094465,46.79999923706055,↑,0.017316,*,28/30,6,5
Liver,TGFB1,Myeloid,NL→AR,NL,AR,0.82392734,1.1024791,33.79999923706055,↑,0.166667,NS,15/18,6,3
Liver,TGFB1,Myeloid,NL→CR,NL,CR,0.82392734,0.8220994,-0.2000000029802322,↓,1.0,NS,9/18,6,3
Liver,TGFB1,Myeloid,IT→IA,IT,IA,0.89903027,1.2094465,34.5,↑,0.125541,NS,24/30,6,5
Liver,TGFB1,Myeloid,IA→AR,IA,AR,1.2094465,1.1024791,-8.800000190734863,↓,0.571429,NS,10/15,5,3
Liver,TGFB1,Myeloid,CR→AR,CR,AR,0.8220994,1.1024791,34.099998474121094,↑,0.4,NS,7/9,3,3
