tissue,lineage,gene1,gene2,rho,p_value,sig,n,q_global,q_stratified
Liver,Myeloid,AIM2,TIGIT,-0.125,0.570161,NS,23,0.7829292569325329,0.8385018976868328
Liver,Myeloid,AIM2,TOX,0.102,0.64235,NS,23,0.8313162446464647,0.8828242917705735
Liver,Myeloid,AIM2,TOX2,0.337,0.115514,NS,23,0.34357322402848745,0.4761711770573566
Liver,Myeloid,AIM2,TYROBP,-0.069,0.753908,NS,23,0.8896938748080349,0.9241133060188542
Liver,Myeloid,ATM,B2M,-0.094,0.67008,NS,23,0.8472398681803226,0.8889929518459069
Liver,Myeloid,ATM,BAK1,0.309,0.150983,NS,23,0.3985893105675416,0.5295238411016949
Liver,Myeloid,ATM,BCL6,0.097,0.659466,NS,23,0.8419059892344498,0.8870014087591241
Liver,Myeloid,ATM,CASP1,0.22,0.31233,NS,23,0.5873098629868858,0.7053025819672132
Liver,Myeloid,ATM,CD27,0.274,0.205096,NS,23,0.46989853977340484,0.6064824472271914
Liver,Myeloid,ATM,CD44,0.194,0.375906,NS,23,0.6447020896268524,0.738469455726092
Liver,Myeloid,ATM,CD74,0.258,0.234784,NS,23,0.5063472253505328,0.6235817272727273
Liver,Myeloid,ATM,CTLA4,0.226,0.299605,NS,23,0.5757438886666,0.699179642857143
Liver,Myeloid,ATM,DNMT1,0.022,0.921571,NS,23,0.9686125659809607,0.9828108793548388
Liver,Myeloid,ATM,DNMT3A,0.452,0.030526,*,23,0.15433999131807422,0.27285222162162165
Liver,Myeloid,ATM,FCER1G,-0.184,0.401201,NS,23,0.6666798145203111,0.7658028325635103
Liver,Myeloid,ATM,GZMB,-0.13,0.555039,NS,23,0.7757624029829028,0.8336595189530687
Liver,Myeloid,ATM,HLA-DPA1,0.14,0.523098,NS,23,0.752132001945962,0.8127710892857144
Liver,Myeloid,ATM,HLA-DPB1,0.123,0.57755,NS,23,0.7883314577654742,0.8398097757255937
Liver,Myeloid,ATM,HLA-DRA,0.165,0.451778,NS,23,0.704015830467229,0.7882322886386899
Liver,Myeloid,ATM,HLA-DRB1,0.199,0.363609,NS,23,0.6342769907382184,0.738469455726092
Liver,Myeloid,ATM,IL1B,0.33,0.124046,NS,23,0.3571116241198502,0.4932456634615385
Liver,Myeloid,ATM,IL1RN,0.091,0.679653,NS,23,0.8508352345815695,0.8955874972111554
Liver,Myeloid,ATM,IL2RA,0.123,0.57731,NS,23,0.7883314577654742,0.8398097757255937
Liver,Myeloid,ATM,IRF3,0.296,0.169593,NS,23,0.42583337119330805,0.5694836470588236
Liver,Myeloid,ATM,IRF7,-0.192,0.38089,NS,23,0.6481776764992471,0.7409115494117648
Liver,Myeloid,ATM,ISG15,0.166,0.449036,NS,23,0.7023212838934891,0.7873205694591728
Liver,Myeloid,ATM,JAK1,0.173,0.430087,NS,23,0.6899132729625919,0.785662626198083
Liver,Myeloid,ATM,JCHAIN,0.193,0.377936,NS,23,0.6463905320113817,0.738469455726092
Liver,Myeloid,ATM,LAYN,-0.136,0.534814,NS,23,0.761168859056925,0.8208426573816157
Liver,Myeloid,ATM,LDHA,-0.395,0.061941,†,23,0.23928183209330386,0.37642820955882356
Liver,Myeloid,ATM,LGALS9,0.283,0.191353,NS,23,0.4538933797999753,0.5924147696629213
Liver,Myeloid,ATM,LILRB1,0.128,0.560555,NS,23,0.7767449139149243,0.8341848177737882
Liver,Myeloid,ATM,MEFV,0.265,0.222023,NS,23,0.49198551153402537,0.6235817272727273
Liver,Myeloid,ATM,MT-CYB,0.169,0.440862,NS,23,0.6970699491358024,0.785662626198083
Liver,Myeloid,ATM,MT-ND1,0.34,0.11252,NS,23,0.3379117899015163,0.46829739195979897
Liver,Myeloid,ATM,MT-ND2,-0.01,0.964308,NS,23,0.985281367086589,0.9943862283218965
Liver,Myeloid,ATM,MTOR,0.418,0.047251,*,23,0.2013617925909494,0.3381207922077922
Liver,Myeloid,ATM,MX1,0.292,0.176279,NS,23,0.43466767667821843,0.5787037674418605
Liver,Myeloid,ATM,PRDM1,0.32,0.13691,NS,23,0.3771568895731882,0.510862821670429
Liver,Myeloid,ATM,PYCARD,-0.013,0.953611,NS,23,0.9808234779419638,0.9913608571428572
Liver,Myeloid,ATM,RB1,0.35,0.10119,NS,23,0.31889125492125986,0.45232495956873314
Liver,Myeloid,ATM,RORC,0.225,0.302005,NS,23,0.5774427390525478,0.699179642857143
Liver,Myeloid,ATM,RPTOR,0.222,0.307599,NS,23,0.5832298054678247,0.7023135433287483
Liver,Myeloid,ATM,SDHB,0.076,0.730055,NS,23,0.877364423182785,0.9198025266768294
Liver,Myeloid,ATM,SIGLEC10,-0.031,0.88965,NS,23,0.9537912092166926,0.973905947889182
Liver,Myeloid,ATM,SOCS1,-0.071,0.746948,NS,23,0.8867281951309935,0.9241133060188542
Liver,Myeloid,ATM,SOCS3,-0.031,0.889623,NS,23,0.9537912092166926,0.973905947889182
Liver,Myeloid,ATM,STAT1,0.185,0.39863,NS,23,0.6647639696180555,0.763540428736964
Liver,Myeloid,ATM,STAT2,0.063,0.776032,NS,23,0.900906020585572,0.9276270260303687
Liver,Myeloid,ATM,TAP1,0.216,0.321308,NS,23,0.5955854870706291,0.7110068594377509
Liver,Myeloid,ATM,TET2,0.218,0.3168,NS,23,0.5911300827505828,0.7067076923076924
Liver,Myeloid,ATM,TFAM,0.148,0.49971,NS,23,0.7361119147566118,0.8074492961876832
Liver,Myeloid,ATM,TGFB1,-0.162,0.460057,NS,23,0.7107482932850824,0.7882322886386899
