Stage,tissue,donor,subcluster,proportion
NL,Blood,D529409,plasmaB_c03-MKI67,20.689655172413794
NL,Liver,D528848,B_c01-IGHD,0.9966777408637874
NL,Liver,D528848,B_c02-STX16,0.33222591362126247
NL,Liver,D528848,B_c03-CD1C,0.33222591362126247
NL,Liver,D528848,B_c04-COCH,1.6611295681063125
NL,Liver,D528848,B_c05-TCL1A,43.85382059800664
NL,Liver,D528848,B_c06-CD70,26.245847176079735
NL,Liver,D528848,B_c07-FCRL5,22.591362126245848
NL,Liver,D528848,plasmaB_c01-SDC1,1.9933554817275747
NL,Liver,D528848,plasmaB_c02-CD52,1.3289036544850499
NL,Liver,D528848,plasmaB_c03-MKI67,0.6644518272425249
NL,Liver,D529074,B_c01-IGHD,0.20533880903490762
NL,Liver,D529074,B_c02-STX16,0.0
NL,Liver,D529074,B_c03-CD1C,1.0266940451745379
NL,Liver,D529074,B_c04-COCH,0.6160164271047228
NL,Liver,D529074,B_c05-TCL1A,5.95482546201232
NL,Liver,D529074,B_c06-CD70,5.95482546201232
NL,Liver,D529074,B_c07-FCRL5,4.722792607802875
NL,Liver,D529074,plasmaB_c01-SDC1,77.00205338809035
NL,Liver,D529074,plasmaB_c02-CD52,0.41067761806981523
NL,Liver,D529074,plasmaB_c03-MKI67,4.1067761806981515
NL,Liver,D529351,B_c01-IGHD,0.0
NL,Liver,D529351,B_c02-STX16,0.0
NL,Liver,D529351,B_c03-CD1C,0.0
NL,Liver,D529351,B_c04-COCH,0.0
NL,Liver,D529351,B_c05-TCL1A,5.263157894736842
NL,Liver,D529351,B_c06-CD70,26.31578947368421
NL,Liver,D529351,B_c07-FCRL5,10.526315789473683
NL,Liver,D529351,plasmaB_c01-SDC1,31.57894736842105
NL,Liver,D529351,plasmaB_c02-CD52,5.263157894736842
NL,Liver,D529351,plasmaB_c03-MKI67,21.052631578947366
NL,Liver,D529354,B_c01-IGHD,0.0
NL,Liver,D529354,B_c02-STX16,0.0
NL,Liver,D529354,B_c03-CD1C,0.0
NL,Liver,D529354,B_c04-COCH,0.0
NL,Liver,D529354,B_c05-TCL1A,26.0
NL,Liver,D529354,B_c06-CD70,12.0
NL,Liver,D529354,B_c07-FCRL5,20.0
NL,Liver,D529354,plasmaB_c01-SDC1,26.0
NL,Liver,D529354,plasmaB_c02-CD52,10.0
NL,Liver,D529354,plasmaB_c03-MKI67,6.0
NL,Liver,D529409,B_c01-IGHD,0.0
NL,Liver,D529409,B_c02-STX16,1.214574898785425
NL,Liver,D529409,B_c03-CD1C,0.0
NL,Liver,D529409,B_c04-COCH,1.6194331983805668
NL,Liver,D529409,B_c05-TCL1A,9.31174089068826
NL,Liver,D529409,B_c06-CD70,5.263157894736842
NL,Liver,D529409,B_c07-FCRL5,6.882591093117409
NL,Liver,D529409,plasmaB_c01-SDC1,55.87044534412956
NL,Liver,D529409,plasmaB_c02-CD52,3.643724696356275
NL,Liver,D529409,plasmaB_c03-MKI67,16.194331983805668
NL,Liver,Dhc570,B_c01-IGHD,1.7045454545454544
NL,Liver,Dhc570,B_c02-STX16,1.1363636363636365
NL,Liver,Dhc570,B_c03-CD1C,0.0
NL,Liver,Dhc570,B_c04-COCH,3.977272727272727
NL,Liver,Dhc570,B_c05-TCL1A,48.86363636363637
NL,Liver,Dhc570,B_c06-CD70,27.84090909090909
NL,Liver,Dhc570,B_c07-FCRL5,13.068181818181818
NL,Liver,Dhc570,plasmaB_c01-SDC1,2.272727272727273
NL,Liver,Dhc570,plasmaB_c02-CD52,0.0
NL,Liver,Dhc570,plasmaB_c03-MKI67,1.1363636363636365
