tissue,type,metric,pattern,NL_mean,IT_mean,IA_mean,NL_IT_p,IT_IA_p,NL_IA_p,NL_IT_cons,IT_IA_cons
Blood,Subcluster,B_c01-IGHD,NS,28.010287272503756,33.237349214993955,27.33492411025891,0.6904761904761905,0.9047619047619049,1.0,15/25,11/20
Blood,Subcluster,B_c02-STX16,NS,7.819753826295409,7.205286341890146,9.646329171926748,1.0,0.5555555555555556,0.9047619047619049,13/25,13/20
Blood,Subcluster,B_c03-CD1C,NS,20.24442861214021,33.29942697303036,19.491513859202577,0.2222222222222222,0.19047619047619047,0.9047619047619049,19/25,16/20
Blood,Subcluster,B_c04-COCH,NS,21.815196776915382,19.93717529510656,18.138859342244075,0.5476190476190477,0.4126984126984127,0.4126984126984127,16/25,14/20
Blood,Subcluster,B_c05-TCL1A,NS,1.7680618186288481,0.32059670958838393,4.058102954967148,0.1732171126447002,0.6227532504241038,0.6227532504241038,20/25,12/20
Blood,Subcluster,B_c06-CD70,NS,2.3588027145882577,0.3597867786456374,6.389741157505134,0.15079365079365079,0.7301587301587302,0.7301587301587302,20/25,12/20
Blood,Subcluster,B_c07-FCRL5,NS,0.9458166395654871,0.40055166454333896,3.5516178595141885,0.8325188126792755,0.1111111111111111,0.9021165931072543,15/25,17/20
Blood,Subcluster,plasmaB_c01-SDC1,NS,2.2158215010141986,0.08162360688956434,8.205311112949024,0.5038124288130608,0.8932728301422118,1.0,19/25,8/20
Blood,Subcluster,plasmaB_c02-CD52,NS,7.922853279242732,4.540689700690169,2.694587301171608,1.0,0.06349206349206349,0.7301587301587302,13/25,18/20
Blood,Subcluster,plasmaB_c03-MKI67,NS,6.898977559105717,0.6175137146218797,0.4890131302605821,0.2222222222222222,0.7301587301587302,0.19047619047619047,19/25,12/20
