tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Blood,ATM,PlasmaB,IA→AR,IA,AR,0.35540783,0.18930054,-46.70000076293945,↓,0.4,NS,9/12,4,3,1.0
Blood,ATM,PlasmaB,CR→AR,CR,AR,0.3559051,0.18930054,-46.79999923706055,↓,0.1,NS,9/9,3,3,0.3207317073170732
Blood,ATP5F1A,Myeloid,NL→IT,NL,IT,1.0157973,0.9739586,-4.099999904632568,↓,0.547619,NS,9/25,5,5,0.6761680610328638
Blood,ATP5F1A,Myeloid,NL→IA,NL,IA,1.0157973,1.0357387,2.0,↑,0.412698,NS,14/20,5,4,0.5804255294117647
Blood,ATP5F1A,Myeloid,NL→AR,NL,AR,1.0157973,1.068904,5.199999809265137,↑,0.25,NS,12/15,5,3,0.4297385620915033
Blood,ATP5F1A,Myeloid,NL→CR,NL,CR,1.0157973,0.9421777,-7.199999809265137,↓,0.571429,NS,5/15,5,3,0.7366952303921569
Blood,ATP5F1A,Myeloid,IT→IA,IT,IA,0.9739586,1.0357387,6.300000190734863,↑,0.412698,NS,14/20,5,4,1.0
Blood,ATP5F1A,Myeloid,IA→AR,IA,AR,1.0357387,1.068904,3.200000047683716,↑,0.628571,NS,8/12,4,3,1.0
Blood,ATP5F1A,Myeloid,CR→AR,CR,AR,0.9421777,1.068904,13.5,↑,0.1,NS,9/9,3,3,0.5977272727272728
Blood,ATP5F1A,CD4_T,NL→IT,NL,IT,0.8595807,0.98176575,14.199999809265137,↑,0.547619,NS,16/25,5,5,0.9601586466666666
Blood,ATP5F1A,CD4_T,NL→IA,NL,IA,0.8595807,0.9151948,6.5,↑,0.904762,NS,11/20,5,4,1.0
Blood,ATP5F1A,CD4_T,NL→AR,NL,AR,0.8595807,1.0701765,24.5,↑,0.25,NS,12/15,5,3,0.6778350515463918
Blood,ATP5F1A,CD4_T,NL→CR,NL,CR,0.8595807,0.97070456,12.899999618530272,↑,0.785714,NS,9/15,5,3,0.9350352126696834
Blood,ATP5F1A,CD4_T,IT→IA,IT,IA,0.98176575,0.9151948,-6.800000190734863,↓,0.730159,NS,12/20,5,4,1.0
Blood,ATP5F1A,CD4_T,IA→AR,IA,AR,0.9151948,1.0701765,16.899999618530273,↑,0.4,NS,9/12,4,3,1.0
Blood,ATP5F1A,CD4_T,CR→AR,CR,AR,0.97070456,1.0701765,10.199999809265137,↑,0.1,NS,9/9,3,3,0.43833333333333335
Blood,ATP5F1A,CD8_T,NL→IT,NL,IT,0.9360734,0.9667041,3.299999952316284,↑,0.690476,NS,10/25,5,5,0.9557641473684211
Blood,ATP5F1A,CD8_T,NL→IA,NL,IA,0.9360734,0.90668803,-3.0999999046325684,↓,0.904762,NS,11/20,5,4,1.0
Blood,ATP5F1A,CD8_T,NL→AR,NL,AR,0.9360734,1.0317403,10.199999809265137,↑,1.0,NS,8/15,5,3,1.0
Blood,ATP5F1A,CD8_T,NL→CR,NL,CR,0.9360734,0.94473165,0.8999999761581421,↑,0.571429,NS,5/15,5,3,0.93928641875
Blood,ATP5F1A,CD8_T,IT→IA,IT,IA,0.9667041,0.90668803,-6.199999809265137,↓,0.904762,NS,9/20,5,4,1.0
Blood,ATP5F1A,CD8_T,IA→AR,IA,AR,0.90668803,1.0317403,13.800000190734863,↑,0.628571,NS,8/12,4,3,1.0
