tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,Myeloid,apoptosis,NL→AR,NL,AR,0.06701,0.034918,-47.9,↓,0.261905,NS,14/18,6,3,0.5063496666666666
Liver,Myeloid,apoptosis,NL→CR,NL,CR,0.06701,0.062794,-6.3,↓,0.904762,NS,10/18,6,3,1.0
Liver,Myeloid,apoptosis,IT→IA,IT,IA,0.05222,0.063277,21.2,↑,0.420635,NS,17/25,5,5,0.871315357142857
Liver,Myeloid,apoptosis,IA→AR,IA,AR,0.063277,0.034918,-44.8,↓,0.25,NS,12/15,5,3,0.725
Liver,Myeloid,apoptosis,CR→AR,CR,AR,0.062794,0.034918,-44.4,↓,0.2,NS,8/9,3,3,0.8285714285714286
Liver,CD4_T,apoptosis,NL→IT,NL,IT,0.107156,0.082171,-23.3,↓,0.132035,NS,28/36,6,6,0.6381691666666668
Liver,CD4_T,apoptosis,NL→IA,NL,IA,0.107156,0.101431,-5.3,↓,0.329004,NS,21/30,6,5,0.77835565
Liver,CD4_T,apoptosis,NL→AR,NL,AR,0.107156,0.093604,-12.6,↓,0.380952,NS,13/18,6,3,0.7562357619047618
Liver,CD4_T,apoptosis,NL→CR,NL,CR,0.107156,0.096533,-9.9,↓,0.547619,NS,12/18,6,3,0.8358395263157895
Liver,CD4_T,apoptosis,IT→IA,IT,IA,0.082171,0.101431,23.4,↑,0.662338,NS,18/30,6,5,0.9189612800000001
Liver,CD4_T,apoptosis,IA→AR,IA,AR,0.101431,0.093604,-7.7,↓,0.785714,NS,9/15,5,3,0.9114282400000001
Liver,CD4_T,apoptosis,CR→AR,CR,AR,0.096533,0.093604,-3.0,↓,1.0,NS,5/9,3,3,1.0
Liver,CD8_T,apoptosis,NL→IT,NL,IT,0.099309,0.090398,-9.0,↓,0.179654,NS,27/36,6,6,0.5788851111111111
Liver,CD8_T,apoptosis,NL→IA,NL,IA,0.099309,0.098141,-1.2,↓,0.536797,NS,19/30,6,5,0.9157125294117647
Liver,CD8_T,apoptosis,NL→AR,NL,AR,0.099309,0.092885,-6.5,↓,0.547619,NS,12/18,6,3,0.7218614090909091
Liver,CD8_T,apoptosis,NL→CR,NL,CR,0.099309,0.090659,-8.7,↓,0.547619,NS,12/18,6,3,0.7218614090909091
Liver,CD8_T,apoptosis,IT→IA,IT,IA,0.090398,0.098141,8.6,↑,0.930736,NS,16/30,6,5,0.9996794074074075
Liver,CD8_T,apoptosis,IA→AR,IA,AR,0.098141,0.092885,-5.4,↓,1.0,NS,7/15,5,3,1.0
Liver,CD8_T,apoptosis,CR→AR,CR,AR,0.090659,0.092885,2.5,↑,1.0,NS,5/9,3,3,1.0
Liver,NK,apoptosis,NL→IT,NL,IT,0.091934,0.0869,-5.5,↓,0.428571,NS,20/30,6,5,0.7767849375
Liver,NK,apoptosis,NL→IA,NL,IA,0.091934,0.090708,-1.3,↓,0.792208,NS,17/30,6,5,0.9996794074074075
Liver,NK,apoptosis,NL→AR,NL,AR,0.091934,0.091782,-0.2,↓,1.0,NS,9/18,6,3,1.0
Liver,NK,apoptosis,NL→CR,NL,CR,0.091934,0.088182,-4.1,↓,0.904762,NS,10/18,6,3,0.9370749285714285
Liver,NK,apoptosis,IT→IA,IT,IA,0.0869,0.090708,4.4,↑,1.0,NS,13/25,5,5,1.0
Liver,NK,apoptosis,IA→AR,IA,AR,0.090708,0.091782,1.2,↑,0.571429,NS,10/15,5,3,0.9494044166666668
Liver,NK,apoptosis,CR→AR,CR,AR,0.088182,0.091782,4.1,↑,1.0,NS,5/9,3,3,1.0
Liver,B,apoptosis,NL→IT,NL,IT,0.070656,0.09306,31.7,↑,0.536797,NS,19/30,6,5,0.9996794074074075
Liver,B,apoptosis,NL→IA,NL,IA,0.070656,0.065725,-7.0,↓,0.428571,NS,20/30,6,5,0.956043
Liver,B,apoptosis,NL→AR,NL,AR,0.070656,0.077802,10.1,↑,1.0,NS,9/18,6,3,1.0
Liver,B,apoptosis,NL→CR,NL,CR,0.070656,0.066641,-5.7,↓,0.547619,NS,12/18,6,3,0.8358395263157895
Liver,B,apoptosis,IT→IA,IT,IA,0.09306,0.065725,-29.4,↓,0.095238,†,21/25,5,5,0.4373026
Liver,B,apoptosis,IA→AR,IA,AR,0.065725,0.077802,18.4,↑,0.785714,NS,9/15,5,3,0.9906828695652173
Liver,B,apoptosis,CR→AR,CR,AR,0.066641,0.077802,16.7,↑,0.7,NS,6/9,3,3,1.0
Liver,PlasmaB,apoptosis,NL→IT,NL,IT,0.104379,0.056055,-46.3,↓,0.082251,†,25/30,6,5,0.4965048571428571
Liver,PlasmaB,apoptosis,NL→IA,NL,IA,0.104379,0.097717,-6.4,↓,0.536797,NS,19/30,6,5,0.9157125294117647
Liver,PlasmaB,apoptosis,NL→AR,NL,AR,0.104379,0.058766,-43.7,↓,0.285714,NS,10/12,6,2,0.6904755
Liver,PlasmaB,apoptosis,NL→CR,NL,CR,0.104379,0.073588,-29.5,↓,0.714286,NS,11/18,6,3,0.9006214782608695
Liver,PlasmaB,apoptosis,IT→IA,IT,IA,0.056055,0.097717,74.3,↑,0.055556,†,22/25,5,5,0.5370413333333334
Liver,PlasmaB,apoptosis,IA→AR,IA,AR,0.097717,0.058766,-39.9,↓,0.380952,NS,8/10,5,2,0.849816
Liver,PlasmaB,apoptosis,CR→AR,CR,AR,0.073588,0.058766,-20.1,↓,0.8,NS,4/6,3,2,1.0
Liver,Myeloid,cancer_associated,NL→IT,NL,IT,0.043878,0.04202,-4.2,↓,0.792208,NS,17/30,6,5,0.8205011428571428
Liver,Myeloid,cancer_associated,NL→IA,NL,IA,0.043878,0.015486,-64.7,↓,0.125541,NS,24/30,6,5,0.914657238095238
Liver,Myeloid,cancer_associated,NL→AR,NL,AR,0.043878,0.032065,-26.9,↓,0.714286,NS,11/18,6,3,0.9415588181818182
Liver,Myeloid,cancer_associated,NL→CR,NL,CR,0.043878,0.022241,-49.3,↓,0.380952,NS,13/18,6,3,1.0
