tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2,q_value
Liver,ANGPT2,CD8_T,IA→AR,IA,AR,0.0014668815,0.0016004132,9.100000381469728,↑,1.0,NS,7/15,5,3,1.0
Liver,ANGPT2,CD8_T,CR→AR,CR,AR,0.00067115854,0.0016004132,138.5,↑,0.642835,NS,5/9,3,3,1.0
Liver,ANGPT2,NK,NL→IT,NL,IT,0.0005146928,0.000674333,31.0,↑,0.797648,NS,16/36,6,6,1.0
Liver,ANGPT2,NK,NL→IA,NL,IA,0.0005146928,0.0016344782,217.6000061035156,↑,0.213259,NS,20/30,6,5,0.8492893953488373
Liver,ANGPT2,NK,NL→AR,NL,AR,0.0005146928,0.0014417112,180.10000610351562,↑,0.4795,NS,10/18,6,3,0.9424140930232558
Liver,ANGPT2,NK,NL→CR,NL,CR,0.0005146928,0.0004634513,-10.0,↓,0.878088,NS,6/18,6,3,1.0
Liver,ANGPT2,NK,IT→IA,IT,IA,0.000674333,0.0016344782,142.39999389648438,↑,0.166994,NS,22/30,6,5,1.0
Liver,ANGPT2,NK,IA→AR,IA,AR,0.0016344782,0.0014417112,-11.800000190734863,↓,1.0,NS,7/15,5,3,1.0
Liver,ANGPT2,NK,CR→AR,CR,AR,0.0004634513,0.0014417112,211.1000061035156,↑,0.642835,NS,5/9,3,3,0.9773584905660376
Liver,ANGPT2,B,NL→IT,NL,IT,0.0009945937,0.012427275,1149.5,↑,0.892295,NS,6/30,6,5,1.0
Liver,ANGPT2,B,NL→IA,NL,IA,0.0009945937,0.0004735205,-52.400001525878906,↓,1.0,NS,5/30,6,5,1.0
Liver,ANGPT2,B,NL→AR,NL,AR,0.0009945937,0.0,-100.0,↓,0.637352,NS,3/18,6,3,1.0
Liver,ANGPT2,B,NL→CR,NL,CR,0.0009945937,0.004365304,338.8999938964844,↑,0.595883,NS,6/18,6,3,1.0
Liver,ANGPT2,B,IT→IA,IT,IA,0.012427275,0.0004735205,-96.1999969482422,↓,1.0,NS,5/25,5,5,1.0
Liver,ANGPT2,B,IA→AR,IA,AR,0.0004735205,0.0,-100.0,↓,0.605577,NS,3/15,5,3,1.0
Liver,ANGPT2,B,CR→AR,CR,AR,0.004365304,0.0,-100.0,↓,0.504985,NS,3/9,3,3,1.0
Liver,ANGPT2,PlasmaB,NL→IT,NL,IT,0.00050003966,0.0,-100.0,↓,0.465209,NS,5/30,6,5,0.7247466526315789
Liver,ANGPT2,PlasmaB,NL→IA,NL,IA,0.00050003966,0.0,-100.0,↓,0.465209,NS,5/30,6,5,0.8500115061728395
Liver,ANGPT2,PlasmaB,NL→AR,NL,AR,0.00050003966,0.0,-100.0,↓,0.637352,NS,3/18,6,3,1.0
Liver,ANGPT2,PlasmaB,NL→CR,NL,CR,0.00050003966,0.0,-100.0,↓,0.637352,NS,3/18,6,3,0.9528090505050505
Liver,ANGPT2,PlasmaB,IT→IA,IT,IA,0.0,0.0,0.0,↑,1.0,NS,0/25,5,5,1.0
Liver,ANGPT2,PlasmaB,IA→AR,IA,AR,0.0,0.0,0.0,↑,1.0,NS,0/15,5,3,1.0
Liver,ANGPT2,PlasmaB,CR→AR,CR,AR,0.0,0.0,0.0,↑,1.0,NS,0/9,3,3,1.0
Liver,ATM,Myeloid,NL→IT,NL,IT,0.22209989,0.3193656,43.79999923706055,↑,0.025974,*,32/36,6,6,0.4209268
Liver,ATM,Myeloid,NL→IA,NL,IA,0.22209989,0.25378186,14.300000190734863,↑,0.536797,NS,19/30,6,5,0.9664055813953488
Liver,ATM,Myeloid,NL→AR,NL,AR,0.22209989,0.23401968,5.400000095367432,↑,1.0,NS,9/18,6,3,1.0
Liver,ATM,Myeloid,NL→CR,NL,CR,0.22209989,0.3338785,50.29999923706055,↑,0.261905,NS,14/18,6,3,0.7752388
Liver,ATM,Myeloid,IT→IA,IT,IA,0.3193656,0.25378186,-20.5,↓,0.177489,NS,23/30,6,5,0.942557923076923
Liver,ATM,Myeloid,IA→AR,IA,AR,0.25378186,0.23401968,-7.800000190734863,↓,0.785714,NS,9/15,5,3,1.0
Liver,ATM,Myeloid,CR→AR,CR,AR,0.3338785,0.23401968,-29.89999961853028,↓,0.7,NS,6/9,3,3,1.0
Liver,ATM,CD4_T,NL→IT,NL,IT,0.31498477,0.39401683,25.100000381469727,↑,0.132035,NS,28/36,6,6,0.4766141463414635
Liver,ATM,CD4_T,NL→IA,NL,IA,0.31498477,0.3815118,21.100000381469727,↑,0.177489,NS,23/30,6,5,0.5360892244897959
