tissue,lineage,pathway,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Blood,CD8_T,apoptosis,CR→AR,CR,AR,0.117797,0.089999,-23.6,↓,0.1,NS,9/9,3,3
Blood,NK,apoptosis,NL→IT,NL,IT,0.086463,0.088263,2.1,↑,0.547619,NS,16/25,5,5
Blood,NK,apoptosis,NL→IA,NL,IA,0.086463,0.091108,5.4,↑,0.412698,NS,14/20,5,4
Blood,NK,apoptosis,NL→AR,NL,AR,0.086463,0.094515,9.3,↑,0.392857,NS,11/15,5,3
Blood,NK,apoptosis,NL→CR,NL,CR,0.086463,0.117424,35.8,↑,0.142857,NS,13/15,5,3
Blood,NK,apoptosis,IT→IA,IT,IA,0.088263,0.091108,3.2,↑,0.285714,NS,15/20,5,4
Blood,NK,apoptosis,IA→AR,IA,AR,0.091108,0.094515,3.7,↑,0.857143,NS,5/12,4,3
Blood,NK,apoptosis,CR→AR,CR,AR,0.117424,0.094515,-19.5,↓,0.1,NS,9/9,3,3
Blood,B,apoptosis,NL→IT,NL,IT,0.058041,0.070601,21.6,↑,0.095238,†,21/25,5,5
Blood,B,apoptosis,NL→IA,NL,IA,0.058041,0.076226,31.3,↑,0.015873,*,20/20,5,4
Blood,B,apoptosis,NL→AR,NL,AR,0.058041,0.083644,44.1,↑,0.035714,*,15/15,5,3
Blood,B,apoptosis,NL→CR,NL,CR,0.058041,0.084041,44.8,↑,0.035714,*,15/15,5,3
Blood,B,apoptosis,IT→IA,IT,IA,0.070601,0.076226,8.0,↑,0.190476,NS,16/20,5,4
Blood,B,apoptosis,IA→AR,IA,AR,0.076226,0.083644,9.7,↑,0.4,NS,9/12,4,3
Blood,B,apoptosis,CR→AR,CR,AR,0.084041,0.083644,-0.5,↓,1.0,NS,4/9,3,3
Blood,PlasmaB,apoptosis,NL→IT,NL,IT,0.113738,0.087553,-23.0,↓,0.547619,NS,16/25,5,5
Blood,PlasmaB,apoptosis,NL→IA,NL,IA,0.113738,0.064067,-43.7,↓,0.412698,NS,14/20,5,4
Blood,PlasmaB,apoptosis,NL→AR,NL,AR,0.113738,0.109917,-3.4,↓,1.0,NS,8/15,5,3
Blood,PlasmaB,apoptosis,NL→CR,NL,CR,0.113738,0.139811,22.9,↑,0.785714,NS,9/15,5,3
Blood,PlasmaB,apoptosis,IT→IA,IT,IA,0.087553,0.064067,-26.8,↓,0.111111,NS,17/20,5,4
Blood,PlasmaB,apoptosis,IA→AR,IA,AR,0.064067,0.109917,71.6,↑,0.057143,†,12/12,4,3
Blood,PlasmaB,apoptosis,CR→AR,CR,AR,0.139811,0.109917,-21.4,↓,0.1,NS,9/9,3,3
Blood,Myeloid,cancer_associated,NL→IT,NL,IT,0.00798,0.007665,-3.9,↓,0.730159,NS,12/20,4,5
Blood,Myeloid,cancer_associated,NL→IA,NL,IA,0.00798,0.013465,68.7,↑,1.0,NS,8/16,4,4
Blood,Myeloid,cancer_associated,NL→AR,NL,AR,0.00798,0.009029,13.2,↑,1.0,NS,6/12,4,3
Blood,Myeloid,cancer_associated,NL→CR,NL,CR,0.00798,0.007255,-9.1,↓,1.0,NS,6/12,4,3
Blood,Myeloid,cancer_associated,IT→IA,IT,IA,0.007665,0.013465,75.7,↑,0.730159,NS,12/20,5,4
Blood,Myeloid,cancer_associated,IA→AR,IA,AR,0.013465,0.009029,-32.9,↓,1.0,NS,6/12,4,3
Blood,Myeloid,cancer_associated,CR→AR,CR,AR,0.007255,0.009029,24.5,↑,0.1,NS,9/9,3,3
