tissue,gene,lineage,comparison,stage1,stage2,mean_s1,mean_s2,pct_change,direction,p_value,sig,consistency,n_s1,n_s2
Blood,TET2,PlasmaB,IT→IA,IT,IA,0.1669185,0.14250873,-14.600000381469728,↓,0.904762,NS,11/20,5,4
Blood,TET2,PlasmaB,IA→AR,IA,AR,0.14250873,0.06563747,-53.900001525878906,↓,0.4,NS,9/12,4,3
Blood,TET2,PlasmaB,CR→AR,CR,AR,0.18814588,0.06563747,-65.0999984741211,↓,0.1,NS,9/9,3,3
Blood,TFAM,Myeloid,NL→IT,NL,IT,0.08960158,0.24298473,171.1999969482422,↑,0.007937,**,25/25,5,5
Blood,TFAM,Myeloid,NL→IA,NL,IA,0.08960158,0.24792603,176.6999969482422,↑,0.015873,*,20/20,5,4
Blood,TFAM,Myeloid,NL→AR,NL,AR,0.08960158,0.2303058,157.0,↑,0.035714,*,15/15,5,3
Blood,TFAM,Myeloid,NL→CR,NL,CR,0.08960158,0.21861728,144.0,↑,0.035714,*,15/15,5,3
Blood,TFAM,Myeloid,IT→IA,IT,IA,0.24298473,0.24792603,2.0,↑,1.0,NS,10/20,5,4
Blood,TFAM,Myeloid,IA→AR,IA,AR,0.24792603,0.2303058,-7.099999904632568,↓,0.857143,NS,7/12,4,3
Blood,TFAM,Myeloid,CR→AR,CR,AR,0.21861728,0.2303058,5.300000190734863,↑,0.7,NS,6/9,3,3
Blood,TFAM,CD4_T,NL→IT,NL,IT,0.14288437,0.27234444,90.5999984741211,↑,0.015873,*,24/25,5,5
Blood,TFAM,CD4_T,NL→IA,NL,IA,0.14288437,0.30282035,111.9000015258789,↑,0.015873,*,20/20,5,4
Blood,TFAM,CD4_T,NL→AR,NL,AR,0.14288437,0.30852786,115.9000015258789,↑,0.035714,*,15/15,5,3
Blood,TFAM,CD4_T,NL→CR,NL,CR,0.14288437,0.31457305,120.1999969482422,↑,0.035714,*,15/15,5,3
Blood,TFAM,CD4_T,IT→IA,IT,IA,0.27234444,0.30282035,11.199999809265137,↑,0.555556,NS,13/20,5,4
Blood,TFAM,CD4_T,IA→AR,IA,AR,0.30282035,0.30852786,1.899999976158142,↑,0.857143,NS,5/12,4,3
Blood,TFAM,CD4_T,CR→AR,CR,AR,0.31457305,0.30852786,-1.899999976158142,↓,1.0,NS,5/9,3,3
Blood,TFAM,CD8_T,NL→IT,NL,IT,0.15616812,0.29012382,85.80000305175781,↑,0.015873,*,24/25,5,5
Blood,TFAM,CD8_T,NL→IA,NL,IA,0.15616812,0.30539855,95.5999984741211,↑,0.111111,NS,17/20,5,4
Blood,TFAM,CD8_T,NL→AR,NL,AR,0.15616812,0.30382255,94.5,↑,0.035714,*,15/15,5,3
Blood,TFAM,CD8_T,NL→CR,NL,CR,0.15616812,0.31420305,101.1999969482422,↑,0.035714,*,15/15,5,3
Blood,TFAM,CD8_T,IT→IA,IT,IA,0.29012382,0.30539855,5.300000190734863,↑,1.0,NS,10/20,5,4
Blood,TFAM,CD8_T,IA→AR,IA,AR,0.30539855,0.30382255,-0.5,↓,0.857143,NS,5/12,4,3
Blood,TFAM,CD8_T,CR→AR,CR,AR,0.31420305,0.30382255,-3.299999952316284,↓,0.7,NS,6/9,3,3
Blood,TFAM,NK,NL→IT,NL,IT,0.13399497,0.22818021,70.30000305175781,↑,0.095238,†,21/25,5,5
Blood,TFAM,NK,NL→IA,NL,IA,0.13399497,0.2592759,93.5,↑,0.015873,*,20/20,5,4
Blood,TFAM,NK,NL→AR,NL,AR,0.13399497,0.25726888,92.0,↑,0.035714,*,15/15,5,3
Blood,TFAM,NK,NL→CR,NL,CR,0.13399497,0.2550981,90.4000015258789,↑,0.035714,*,15/15,5,3
Blood,TFAM,NK,IT→IA,IT,IA,0.22818021,0.2592759,13.600000381469728,↑,0.555556,NS,13/20,5,4
Blood,TFAM,NK,IA→AR,IA,AR,0.2592759,0.25726888,-0.800000011920929,↓,0.4,NS,9/12,4,3
Blood,TFAM,NK,CR→AR,CR,AR,0.2550981,0.25726888,0.8999999761581421,↑,0.7,NS,6/9,3,3
Blood,TFAM,B,NL→IT,NL,IT,0.14754027,0.2901326,96.5999984741211,↑,0.055556,†,22/25,5,5
Blood,TFAM,B,NL→IA,NL,IA,0.14754027,0.31191874,111.4000015258789,↑,0.015873,*,20/20,5,4
Blood,TFAM,B,NL→AR,NL,AR,0.14754027,0.31917226,116.3000030517578,↑,0.035714,*,15/15,5,3
Blood,TFAM,B,NL→CR,NL,CR,0.14754027,0.31480786,113.4000015258789,↑,0.035714,*,15/15,5,3
Blood,TFAM,B,IT→IA,IT,IA,0.2901326,0.31191874,7.5,↑,1.0,NS,10/20,5,4
